name,nage,value
마포구민체육센터 앞,AGE_001,728
마포구민체육센터 앞,AGE_002,5977
마포구민체육센터 앞,AGE_003,2599
마포구민체육센터 앞,AGE_004,1333
마포구민체육센터 앞,AGE_005,633
마포구민체육센터 앞,AGE_006,119
독산보도육교 앞 자전거 보관소,AGE_001,196
독산보도육교 앞 자전거 보관소,AGE_002,1375
독산보도육교 앞 자전거 보관소,AGE_003,649
독산보도육교 앞 자전거 보관소,AGE_004,705
독산보도육교 앞 자전거 보관소,AGE_005,659
독산보도육교 앞 자전거 보관소,AGE_006,205
월드컵공원,AGE_001,169
월드컵공원,AGE_002,1080
월드컵공원,AGE_003,948
월드컵공원,AGE_004,1598
월드컵공원,AGE_005,607
월드컵공원,AGE_006,320
여의나루역 1번출구 앞,AGE_001,1452
여의나루역 1번출구 앞,AGE_002,8701
여의나루역 1번출구 앞,AGE_003,2932
여의나루역 1번출구 앞,AGE_004,1546
여의나루역 1번출구 앞,AGE_005,623
여의나루역 1번출구 앞,AGE_006,182
봉림교 교통섬,AGE_001,442
봉림교 교통섬,AGE_002,6713
봉림교 교통섬,AGE_003,2625
봉림교 교통섬,AGE_004,822
봉림교 교통섬,AGE_005,438
봉림교 교통섬,AGE_006,133
"고속터미널역 8-1번, 8-2번 출구 사이",AGE_001,455
"고속터미널역 8-1번, 8-2번 출구 사이",AGE_002,4735
"고속터미널역 8-1번, 8-2번 출구 사이",AGE_003,1955
"고속터미널역 8-1번, 8-2번 출구 사이",AGE_004,1012
"고속터미널역 8-1번, 8-2번 출구 사이",AGE_005,502
"고속터미널역 8-1번, 8-2번 출구 사이",AGE_006,129
당산육갑문,AGE_001,226
당산육갑문,AGE_002,3864
당산육갑문,AGE_003,2055
당산육갑문,AGE_004,1031
당산육갑문,AGE_005,493
당산육갑문,AGE_006,121
뚝섬유원지역 1번출구 앞,AGE_001,1374
뚝섬유원지역 1번출구 앞,AGE_002,9846
뚝섬유원지역 1번출구 앞,AGE_003,2827
뚝섬유원지역 1번출구 앞,AGE_004,1230
뚝섬유원지역 1번출구 앞,AGE_005,611
뚝섬유원지역 1번출구 앞,AGE_006,120
옥수역 3번출구,AGE_001,283
옥수역 3번출구,AGE_002,2714
옥수역 3번출구,AGE_003,1952
옥수역 3번출구,AGE_004,1434
옥수역 3번출구,AGE_005,830
옥수역 3번출구,AGE_006,275
청계천 생태교실 앞,AGE_001,375
청계천 생태교실 앞,AGE_002,3231
청계천 생태교실 앞,AGE_003,1634
청계천 생태교실 앞,AGE_004,1453
청계천 생태교실 앞,AGE_005,1060
청계천 생태교실 앞,AGE_006,356
합계,AGE_001,5700
합계,AGE_002,48236
합계,AGE_003,20176
합계,AGE_004,12164
합계,AGE_005,6456
합계,AGE_006,1960